run_id,endpoint,strategy,threshold,net_benefit,interpretation_status
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.2,0.273915154356124,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.21000000000000002,0.269209218899269,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.22,0.26497157388471926,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.23,0.26041470081515616,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.24000000000000002,0.25641902251107573,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.25,0.25307484542065667,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.26,0.24853987450250759,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.27,0.24503971621186504,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.28,0.24154184989248267,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.29000000000000004,0.23799638384785374,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.3,0.2339497373984751,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.31,0.23039528250339442,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.32,0.22653341789404438,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.33,0.22312848134603214,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.34,0.22000288155782693,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.35000000000000003,0.21636901235776207,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.36000000000000004,0.21256612870823005,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.37,0.20893589248909678,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.38,0.2048548030666007,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.39,0.2012524796550274,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.4,0.1980178128976093,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.41000000000000003,0.19445103382679924,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.42000000000000004,0.19006966750335408,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.43,0.18628470325347957,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.44,0.18231194573858472,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.45,0.17854294637258541,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.46,0.17520480367865351,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.47000000000000003,0.17132689535270118,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.48000000000000004,0.16647177907473898,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.49,0.16370375914378343,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.5,0.1604500100448671,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.51,0.1556318904713161,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.52,0.15145427353289137,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.53,0.14847738337624367,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.54,0.14555157966453056,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.55,0.14274872206968903,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.56,0.13870439478153934,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.5700000000000001,0.13475539580669624,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.5800000000000001,0.13064386003514106,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.59,0.1274497634147975,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.6,0.1243889372530637,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.01,0.38137823693304845,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.01,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.02,0.3750657699629775,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.02,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.03,0.3686231490347608,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.03,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.04,0.36204630683720623,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.04,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.05,0.35533100480391366,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.05,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.060000000000000005,0.3484728240039553,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.060000000000000005,0.0,sensitivity_analysis_not_clinically_prespecified
